iter	Passed	Remaining
0	140	140607
1	142	71219
2	145	48242
3	147	36693
4	149	29724
5	151	25168
6	154	21864
7	156	19348
8	157	17367
9	159	15817
10	161	14535
11	163	13458
12	165	12550
13	167	11817
14	169	11148
15	171	10555
16	173	10019
17	174	9523
18	175	9079
19	177	8678
20	178	8331
21	180	8002
22	182	7741
23	183	7475
24	185	7218
25	186	7003
26	189	6812
27	191	6638
28	193	6470
29	195	6327
30	198	6198
31	200	6056
32	202	5923
33	204	5797
34	205	5675
35	207	5558
36	209	5453
37	211	5358
38	213	5263
39	215	5172
40	217	5091
41	219	5004
42	221	4929
43	222	4843
44	224	4765
45	226	4696
46	228	4627
47	229	4558
48	231	4492
49	233	4432
50	234	4372
51	236	4314
52	238	4256
53	240	4205
54	241	4151
55	243	4098
56	244	4047
57	245	3993
58	247	3943
59	248	3898
60	250	3858
61	252	3815
62	253	3773
63	255	3741
64	257	3703
65	258	3661
66	260	3624
67	261	3588
68	263	3554
69	265	3524
70	266	3493
71	269	3467
72	270	3436
73	272	3406
74	274	3380
75	275	3351
76	277	3327
77	279	3303
78	280	3274
79	282	3250
80	284	3229
81	286	3203
82	286	3169
83	288	3143
84	289	3120
85	291	3093
86	292	3064
87	293	3042
88	295	3021
89	296	2998
90	297	2973
91	299	2956
92	301	2936
93	302	2916
94	303	2893
95	304	2871
96	306	2851
97	307	2833
98	309	2814
99	310	2796
100	312	2778
101	313	2761
102	315	2744
103	316	2727
104	320	2731
105	324	2736
106	329	2753
107	332	2745
108	333	2727
109	334	2709
110	336	2693
111	337	2677
112	339	2661
113	340	2643
114	341	2626
115	342	2611
116	343	2594
117	345	2579
118	346	2566
119	348	2554
120	349	2540
121	351	2526
122	352	2513
123	353	2498
124	355	2485
125	356	2472
126	357	2459
127	359	2448
128	360	2434
129	361	2422
130	363	2411
131	365	2400
132	366	2388
133	367	2376
134	369	2364
135	370	2352
136	371	2341
137	373	2332
138	374	2320
139	375	2307
140	377	2297
141	378	2284
142	379	2273
143	380	2262
144	381	2252
145	383	2241
146	384	2232
147	386	2225
148	388	2218
149	389	2208
150	391	2198
151	392	2188
152	393	2179
153	395	2170
154	396	2160
155	397	2151
156	398	2141
157	400	2133
158	401	2125
159	403	2118
160	404	2107
161	405	2099
162	406	2089
163	408	2080
164	409	2071
165	410	2063
166	411	2054
167	413	2046
168	414	2037
169	415	2030
170	417	2024
171	418	2016
172	420	2009
173	421	2002
174	423	1994
175	424	1987
176	425	1979
177	426	1971
178	428	1964
179	429	1957
180	430	1950
181	432	1942
182	433	1935
183	434	1928
184	436	1921
185	437	1915
186	439	1909
187	440	1902
188	441	1895
189	442	1888
190	444	1883
191	446	1877
192	447	1870
193	448	1864
194	450	1857
195	451	1850
196	452	1845
197	454	1840
